model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=241,
                    random_state=42)",0.5373809523809524,0.44166666666666665,0.4228571428571429,0.0061352851079643405,0.09571428571428575,"{'n_estimators': 241, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.867219917012449,3.0,7.933609958506224,3583,1912,3,241
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=271,
                    random_state=42)",0.5414285714285715,0.44333333333333336,0.42023809523809524,0.007824607964359518,0.09809523809523812,"{'n_estimators': 271, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.874538745387454,3.0,7.937269372693727,4031,2151,3,271
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=301,
                    random_state=42)",0.540952380952381,0.44,0.4204761904761904,0.009712418121129112,0.10095238095238096,"{'n_estimators': 301, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.887043189368772,3.0,7.943521594684386,4481,2391,3,301
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=331,
                    random_state=42)",0.5433333333333333,0.43666666666666665,0.42404761904761906,0.00920292766194652,0.10666666666666669,"{'n_estimators': 331, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.879154078549849,3.0,7.9395770392749245,4925,2628,3,331
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=1,
                    random_state=42)",0.355,0.3038888888888889,0.28380952380952384,0.013502330360721739,0.05111111111111111,"{'n_estimators': 1, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",63.0,5.0,32.0,63,32,5,1
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=31,
                    random_state=42)",0.6211904761904762,0.455,0.41380952380952374,0.011283805343878845,0.16619047619047617,"{'n_estimators': 31, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.61290322580645,5.0,29.806451612903224,1817,924,5,31
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=61,
                    random_state=42)",0.655,0.47888888888888886,0.44857142857142857,0.0061352851079643465,0.17611111111111116,"{'n_estimators': 61, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.704918032786885,5.0,29.852459016393443,3581,1821,5,61
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=91,
                    random_state=42)",0.6566666666666666,0.4772222222222222,0.4552380952380952,0.013119026013291346,0.1794444444444444,"{'n_estimators': 91, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.42857142857143,5.0,29.714285714285715,5317,2704,5,91
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=121,
                    random_state=42)",0.6702380952380952,0.48777777777777775,0.4626190476190476,0.015875793407780607,0.18246031746031743,"{'n_estimators': 121, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.388429752066116,5.0,29.694214876033058,7065,3593,5,121
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=151,
                    random_state=42)",0.6764285714285714,0.49277777777777776,0.46499999999999997,0.013936200596820849,0.18365079365079362,"{'n_estimators': 151, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.17880794701987,5.0,29.589403973509935,8785,4468,5,151
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=181,
                    random_state=42)",0.6811904761904762,0.485,0.4671428571428572,0.009977298495122367,0.19619047619047625,"{'n_estimators': 181, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.07182320441989,5.0,29.535911602209946,10511,5346,5,181
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=211,
                    random_state=42)",0.68,0.495,0.46952380952380957,0.006236095644623231,0.18500000000000005,"{'n_estimators': 211, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",58.04265402843602,5.0,29.52132701421801,12247,6229,5,211
