model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=1,
                    random_state=42)",0.54,0.475,0.4614285714285714,0.02887340418772532,0.06500000000000006,"{'n_estimators': 1, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",49.0,5.0,25.0,49,25,5,1
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=11,
                    random_state=42)",0.725,0.565,0.5864285714285715,0.01895214165917371,0.16000000000000003,"{'n_estimators': 11, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",56.09090909090909,5.0,28.545454545454547,617,314,5,11
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=21,
                    random_state=42)",0.7521428571428571,0.5883333333333334,0.6114285714285714,0.012657175104763817,0.16380952380952374,"{'n_estimators': 21, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",56.333333333333336,5.0,28.666666666666668,1183,602,5,21
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=31,
                    random_state=42)",0.76,0.6033333333333334,0.6142857142857143,0.014463183379511847,0.15666666666666662,"{'n_estimators': 31, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",56.096774193548384,5.0,28.548387096774192,1739,885,5,31
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=41,
                    random_state=42)",0.7714285714285715,0.62,0.615,0.009948848769417236,0.15142857142857147,"{'n_estimators': 41, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",56.36585365853659,5.0,28.682926829268293,2311,1176,5,41
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=51,
                    random_state=42)",0.7778571428571428,0.6266666666666667,0.6278571428571429,0.013054047773212169,0.1511904761904761,"{'n_estimators': 51, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",55.509803921568626,5.0,28.254901960784313,2831,1441,5,51
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=61,
                    random_state=42)",0.7842857142857143,0.6333333333333333,0.6221428571428571,0.02012714686229339,0.15095238095238095,"{'n_estimators': 61, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",55.75409836065574,5.0,28.37704918032787,3401,1731,5,61
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=71,
                    random_state=42)",0.7807142857142857,0.6366666666666667,0.6285714285714286,0.0182107839771171,0.14404761904761898,"{'n_estimators': 71, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",55.7887323943662,5.0,28.3943661971831,3961,2016,5,71
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=81,
                    random_state=42)",0.785,0.6383333333333333,0.6321428571428571,0.010832679205787926,0.14666666666666672,"{'n_estimators': 81, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",55.98765432098765,5.0,28.493827160493826,4535,2308,5,81
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=91,
                    random_state=42)",0.7907142857142857,0.6333333333333333,0.6378571428571428,0.007354021529276439,0.1573809523809524,"{'n_estimators': 91, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",56.16483516483517,5.0,28.582417582417584,5111,2601,5,91
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=1,
                    random_state=42)",0.6021428571428571,0.45166666666666666,0.47928571428571426,0.03581414610491908,0.15047619047619043,"{'n_estimators': 1, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",159.0,7.0,80.0,159,80,7,1
