model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=4,
                    random_state=42)",0.92,0.8933333333333333,0.8685714285714285,0.02457807219155036,0.026666666666666727,"{'n_estimators': 4, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",14.0,3.0,7.5,56,30,3,4
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=7,
                    random_state=42)",0.94,0.9266666666666666,0.8799999999999999,0.026496052844273442,0.013333333333333308,"{'n_estimators': 7, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.857142857142858,3.0,7.428571428571429,97,52,3,7
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=10,
                    random_state=42)",0.9342857142857143,0.9066666666666666,0.8885714285714286,0.01665986255670085,0.027619047619047654,"{'n_estimators': 10, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.6,3.0,7.3,136,73,3,10
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=13,
                    random_state=42)",0.9571428571428572,0.9466666666666667,0.9,0.023904572186687893,0.010476190476190528,"{'n_estimators': 13, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.615384615384615,3.0,7.3076923076923075,177,95,3,13
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=16,
                    random_state=42)",0.9628571428571429,0.94,0.917142857142857,0.024578072191550362,0.02285714285714291,"{'n_estimators': 16, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.625,3.0,7.3125,218,117,3,16
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=19,
                    random_state=42)",0.9628571428571429,0.94,0.9085714285714286,0.02941608611710573,0.02285714285714291,"{'n_estimators': 19, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.631578947368421,3.0,7.315789473684211,259,139,3,19
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=22,
                    random_state=42)",0.96,0.94,0.917142857142857,0.03768830273792266,0.020000000000000018,"{'n_estimators': 22, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.363636363636363,3.0,7.181818181818182,294,158,3,22
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=25,
                    random_state=42)",0.9571428571428572,0.94,0.9199999999999999,0.030772370326482883,0.017142857142857237,"{'n_estimators': 25, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.48,3.0,7.24,337,181,3,25
"RandomForestOverfit(max_depth=3, max_features=2, n_estimators=28,
                    random_state=42)",0.96,0.9466666666666667,0.9228571428571428,0.027994168488950595,0.013333333333333308,"{'n_estimators': 28, 'max_depth': 3, 'max_features': 2, 'bootstrap': True}",13.571428571428571,3.0,7.285714285714286,380,204,3,28
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=1,
                    random_state=42)",0.8142857142857143,0.8133333333333334,0.8085714285714287,0.0636315927180574,0.0009523809523809268,"{'n_estimators': 1, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",27.0,4.0,14.0,27,14,4,1
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=4,
                    random_state=42)",0.9314285714285714,0.9066666666666666,0.8828571428571429,0.02099562636671296,0.024761904761904763,"{'n_estimators': 4, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",26.5,4.0,13.75,106,55,4,4
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=7,
                    random_state=42)",0.9628571428571429,0.92,0.8914285714285715,0.03681171064778611,0.042857142857142816,"{'n_estimators': 7, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",25.857142857142858,4.0,13.428571428571429,181,94,4,7
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=10,
                    random_state=42)",0.9657142857142857,0.92,0.9200000000000002,0.017142857142857137,0.04571428571428571,"{'n_estimators': 10, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",25.0,4.0,13.0,250,130,4,10
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=13,
                    random_state=42)",0.96,0.92,0.9228571428571428,0.04100771455544951,0.039999999999999925,"{'n_estimators': 13, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",24.23076923076923,4.0,12.615384615384615,315,164,4,13
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=16,
                    random_state=42)",0.9742857142857143,0.9333333333333333,0.9314285714285713,0.041796396680936564,0.04095238095238096,"{'n_estimators': 16, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",24.125,4.0,12.5625,386,201,4,16
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=19,
                    random_state=42)",0.9714285714285714,0.94,0.9142857142857143,0.04517539514526255,0.03142857142857147,"{'n_estimators': 19, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",23.736842105263158,4.0,12.368421052631579,451,235,4,19
